Name,Vsys,PA,Incl,Vmax,Vflat,W50,W20,m_spitzer,Distance
NGC 0055,130,110,78,85,85,185,201,5.64,2.09
NGC 0224,-300,37,78,261,230,517,533,0.48,0.76
NGC 0247,160,169,77,110,110,200,227,6.27,3.45
NGC 0253,240,230,77,200,200,410,419,3.37,3.45
NGC 0300,135,290,46,103,85,160,167,5.56,1.93
NGC 0925,550,283,61,115,115,200,228,7.24,9.16
NGC 1365,1640,218,39,322,215,380,405,5.91,17.94
NGC 2366,107,42,68,45,45,100,120,9.76,3.31
NGC 2403,135,124,61,128,128,225,257,5.52,3.19
NGC 2541,560,170,64,100,100,200,211,9.16,11.22
NGC 2841,640,150,70,325,290,590,615,5.70,14.01
NGC 2976,5,323,61,78,78,130,164,6.95,3.56
NGC 3031,-40,330,59,249,215,415,425,3.40,3.59
NGC 3109,404,92,80,57,-,110,130,7.76,1.30
NGC 3198,660,215,70,161,154,315,322,7.44,13.80
IC 2574,51,55,65,75,-,105,134,8.60,3.81
NGC 3319,730,33,57,112,112,195,221,9.05,13.30
NGC 3351,780,192,47,190,176,260,284,6.45,10.91
NGC 3370,1280,327,55,152,152,275,301,8.70,26.18
NGC 3621,730,344,65,145,145,275,293,6.37,7.01
NGC 3627,715,172,58,183,183,340,370,5.39,10.04
NGC 4244,245,222,88,110,110,195,218,7.39,4.20
NGC 4258,445,331,72,242,200,420,434,4.95,7.31
NGC 4414,715,160,52,237,185,375,395,6.56,17.70
NGC 4535,1965,180,41,195,195,270,278,6.80,15.77
NGC 4536,1800,300,69,161,161,320,333,7.17,15.06
NGC 4605,160,293,69,87,-,150,186,7.22,5.32
NGC 4639,978,311,42,188,188,275,290,8.28,21.87
NGC 4725,1220,30,50,215,215,400,405,5.93,12.76
NGC 5584,1640,152,44,132,132,190,197,8.87,22.69
NGC 7331,815,169,75,275,275,500,527,5.45,14.72
NGC 7793,228,290,50,118,95,174,195,6.43,3.94
